iter	Logloss
0	0.6915115821
1	0.6907068072
2	0.6893311133
3	0.6882957889
4	0.6868196224
5	0.6856824019
6	0.6843921923
7	0.6833219984
8	0.6825002419
9	0.6814583247
10	0.6807292763
11	0.6798302379
12	0.678567479
13	0.6776715124
14	0.67685257
15	0.6759741522
16	0.6749939665
17	0.674375717
18	0.6729013842
19	0.6720492782
20	0.6709722187
21	0.669981667
22	0.6687370537
23	0.6674597869
24	0.6663932022
25	0.6651852946
26	0.6642410984
27	0.6632042636
28	0.6621930306
29	0.6614862036
30	0.660840703
31	0.6601042777
32	0.6593362769
33	0.6581449722
34	0.6574079729
35	0.6564221263
36	0.655764801
37	0.655155566
38	0.6543611604
39	0.6536342736
40	0.6529735896
41	0.6519691196
42	0.6512428951
43	0.6503128403
44	0.649623123
45	0.6489273717
46	0.6481206075
47	0.6469933371
48	0.6460716002
49	0.6455349866
50	0.6448075426
51	0.6439988794
52	0.643420841
53	0.6427702621
54	0.6422055539
55	0.6415067998
56	0.6406782157
57	0.6399461985
58	0.6393725469
59	0.6387867389
60	0.6379679518
61	0.6375868256
62	0.6368950005
63	0.6358413965
64	0.6355298734
65	0.6349632653
66	0.6342753534
67	0.6333599587
68	0.6325551983
69	0.6320457679
70	0.6313704502
71	0.6307307312
72	0.6301752657
73	0.6295573863
74	0.6287950402
75	0.628363417
76	0.627654576
77	0.6270511255
78	0.6262108797
79	0.6254345909
80	0.6249598856
81	0.6240706298
82	0.6235502606
83	0.6231015708
84	0.6223287317
85	0.6218470818
86	0.6213189205
87	0.6209589181
88	0.6205544332
89	0.6202113774
90	0.6192974717
91	0.6186182124
92	0.6179869885
93	0.6172640525
94	0.6165415742
95	0.6158977876
96	0.6151404534
97	0.614581027
98	0.6137187907
99	0.6133023274
100	0.6130103577
101	0.6125567979
102	0.6120251335
103	0.6112211122
104	0.6106328702
105	0.6103232199
106	0.6097913067
107	0.6093781562
108	0.6087670941
109	0.6084276937
110	0.6078330141
111	0.6072885201
112	0.606965652
113	0.6066477227
114	0.6059088345
115	0.6055604105
116	0.6048995846
117	0.6042781413
118	0.6038223975
119	0.6033529851
120	0.6029977145
121	0.6027196008
122	0.6023857792
123	0.6017228752
124	0.6014032254
125	0.600913446
126	0.6003599214
